[22:21:16:203] [INFO] - org.hibernate.validator.internal.util.Version.<clinit>(Version.java:21) - HV000001: Hibernate Validator 6.0.14.Final
[22:22:13:608] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.007875953728771843, cpuUser=0.0039379768643859215, cpuSys=0.0039379768643859215, cpuWait=0.0, cpuIdle=0.9921240462712282, memTotal=16982999040, memUsed=6771671040, memFree=10211328000, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35478928KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683636KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:18:609] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.0, cpuUser=0.0, cpuSys=0.0, cpuWait=0.0, cpuIdle=1.0, memTotal=16982999040, memUsed=6760259584, memFree=10222739456, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35478928KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683636KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:23:610] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.13278319579894973, cpuUser=0.07001750437609403, cpuSys=0.06276569142285571, cpuWait=0.0, cpuIdle=0.8672168042010503, memTotal=16982999040, memUsed=6802620416, memFree=10180378624, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35470736KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683636KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:28:611] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.0966616841056303, cpuUser=0.050323866467364226, cpuSys=0.04633781763826607, cpuWait=0.0, cpuIdle=0.9033383158943697, memTotal=16982999040, memUsed=6799872000, memFree=10183127040, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35470736KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683628KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:33:612] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.06941699604743083, cpuUser=0.026926877470355732, cpuSys=0.042490118577075096, cpuWait=0.0, cpuIdle=0.9229249011857708, memTotal=16982999040, memUsed=6751657984, memFree=10231341056, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35470736KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683628KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:38:606] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.015809284818067756, cpuUser=0.0, cpuSys=0.015809284818067756, cpuWait=0.0, cpuIdle=0.980426599749059, memTotal=16982999040, memUsed=6769635328, memFree=10213363712, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35470736KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683628KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:43:610] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.031373517786561264, cpuUser=0.015563241106719368, cpuSys=0.015810276679841896, cpuWait=0.0, cpuIdle=0.9686264822134387, memTotal=16982999040, memUsed=6758633472, memFree=10224365568, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35470736KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683628KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:48:615] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.015683345780433157, cpuUser=0.007966143888473986, cpuSys=0.007717201891959173, cpuWait=0.0, cpuIdle=0.9843166542195668, memTotal=16982999040, memUsed=6757355520, memFree=10225643520, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35470736KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683628KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:53:612] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.015562248995983935, cpuUser=0.0077811244979919675, cpuSys=0.0077811244979919675, cpuWait=0.0, cpuIdle=0.9844377510040161, memTotal=16982999040, memUsed=6750027776, memFree=10232971264, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466512KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683660KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
[22:22:58:619] [INFO] - com.broada.one.service.impl.ComputerServiceImpl.storeComputerInfo(ComputerServiceImpl.java:70) - 完成一次储存计算机信息,computerInfo:ComputerInfo(cpuCombined=0.01593228777694797, cpuUser=0.003983071944236993, cpuSys=0.01194921583271098, cpuWait=0.0, cpuIdle=0.9803335822753299, memTotal=16982999040, memUsed=6750162944, memFree=10232836096, fileSysMsgMap={C:\=[C:\总大小:    104788988KB, C:\剩余大小:    35466512KB], E:\=[E:\总大小:    488369148KB, E:\剩余大小:    394683660KB], D:\=[D:\总大小:    129022972KB, D:\剩余大小:    47838096KB], FileSysCount=3})
